Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,1239.7477630289454,0.000001061303980976398,,,499.65089153568397,6.752387610443292e-7,586.1381645140285,4.3995762880991e-7,868.2937333960764,3.006326712154929e-7,593.3805862753281,1.1883254558613716e-7,777.4396150303594,3.366136964268273e-8,696.0920386406227,1.516626195593554e-8,1286.2735325893466,1.6192068244593722e-9
,,1685.259044750751,0.0000010868652679654126,,,,,787.0457896950985,4.781746661299093e-7,993.8785857542521,3.267472087597831e-7,796.770659869954,1.4547578108480515e-7,981.7479430199844,4.0239369086249086e-8,787.0457896950985,1.770361740799287e-8,1584.893192461114,2.054288801552121e-9
,,1976.969640111862,0.0000011130421932675273,,,,,981.7479430199844,5.014855203544525e-7,1123.7421389182828,3.3862246144580983e-7,993.8785857542521,1.6780550400703933e-7,1270.5741052085418,5.166284215610424e-8,993.8785857542521,2.0912860317203183e-8,1976.969640111862,2.485128426980561e-9
,,2406.2089250401145,0.0000011130421932675273,,,,,1318.2567385564075,5.385997529519132e-7,1302.1669447358342,3.5513019260565083e-7,1302.1669447358342,1.9356271514803811e-7,1565.5490055903122,6.030617131621198e-8,1286.2735325893466,2.6532160134884776e-8,2466.039337234341,2.93562284283726e-9
,,3001.465344919273,0.0000011398495844042462,,,,,1727.1630299999972,5.581745434672247e-7,1490.5046433861976,3.8141287482832233e-7,1685.259044750751,2.259462656908723e-7,1952.8400203127887,7.03955521423166e-8,1565.5490055903122,3.17169917818592e-8,3038.551955629656,3.509293065757078e-9
,,3981.0717055349774,0.000001181276110709523,,,,,1976.969640111862,5.716180619607675e-7,1664.689856844316,3.952748884733114e-7,2051.1621788255666,2.544982231418539e-7,2496.5101341240334,8.515939318253855e-8,1976.969640111862,3.7915026992765086e-8,3435.57947899875,3.952748884733114e-9
,,4965.9232145033675,0.0000011954168684575924,,,,,2496.5101341240334,5.923928650614466e-7,2001.3974095522738,4.14544406405742e-7,2435.940447292027,2.637476692792077e-7,2928.6445646252373,9.706889892723416e-8,2496.5101341240334,4.586682812964991e-8,3932.481305005624,4.4522425038297895e-9
,,5614.7876156673765,0.0000012097269016425165,,,,,3001.465344919273,5.994842503189434e-7,2319.1739988566974,4.296105475805432e-7,2928.6445646252373,2.8665818124639793e-7,3435.57947899875,1.080417801600322e-7,2964.8313895243455,5.228128498152233e-8,4905.312349932591,5.450471944608118e-9
,,6348.434844296006,0.0000012242082366177677,,,,,3393.647005714513,6.066605247569745e-7,2720.612359362606,4.5055391735173783e-7,3521.0052016845207,3.1155882097484347e-7,3932.481305005624,1.1883254558613716e-7,4181.511864078866,6.956283305021419e-8,5897.48257901352,6.362350213961421e-9
,,6918.309709189362,0.0000012388629239937801,,,,,3932.481305005624,6.139227045624654e-7,3311.3112148259142,4.7251826935868803e-7,3981.0717055349774,3.228820691203444e-7,4965.9232145033675,1.420544295154236e-7,4845.441262588592,7.929116634226845e-8,7822.279563860029,8.266328529540411e-9
